,Year,China,India,Japan,United States
0,1997,3636.5,1766.0,5636.561645,18620.320547945204
1,1998,4118.0,1758.0,5448.019177,18917.178082191786
2,1999,4359.0,1960.0,5589.405479,19519.30410958904
3,2000,4688.535,2178.3368032786884,5458.778689,19701.005464480877
4,2001,4814.297,2171.9955342465764,5360.983563,19648.657534246577
5,2002,5211.508,2256.1779726027394,5268.676712,19761.254794520548
6,2003,5786.183,2355.914821917808,5380.073972,20033.64383561644
7,2004,6802.69,2476.343469945356,5267.846996,20731.122950819677
8,2005,6970.258,2465.435232876712,5287.534246,20802.16112328767
9,2006,7493.351,2654.0014520547948,5155.961643,20687.417556164382
10,2007,7923.259,2853.348986301369,4989.378084,20680.378057534246
11,2008,8041.343,2949.9810382513656,4737.431694,19497.96407377049
12,2009,8497.269,3019.285671232877,4324.227398,18771.399553424657
13,2010,9181.535191780822,3141.96739726027,4399.197259,19177.537106849315
14,2011,9686.149484927397,3221.0,4414.726027,18895.505293150683
15,2012,10170.80617809452,3398.0,4673.631147,18482.352961748635
16,2013,10780.567783580822,3423.0,4520.731506,18966.517679452056
17,2014,11417.91284931507,3550.0,4285.742466,19100.46590958904
18,2015,11958.034531013698,3848.0,4166.879453,19531.631558904108
19,2016,12555.123190164384,4233.0,4043.245901,19691.898456284154
20,2017,13200.13740271233,4531.196682564837,3954.271233,19951.92395890411
21,2018,13608.79921050685,4765.461549299717,3861.441095,20511.58953150685
22,2019,14007.514099164384,4920.122051051392,3766.052055,20542.85444931507
23,2020,14432.723000452055,4457.494386026059,3366.202186,18185.90919398907
24,2021,15452.992762273972,4706.307048783422,3411.145205,19889.879884931503
25,2022,15147.6070001,5048.86009289,3376.117809,20010.204594520543
26,2023,4814.297,2178.3368032786884,3338.90137,20245.725884931508
