,WTI,Brent
0,25.13,23.54
1,22.18,20.85
2,20.97,19.13
3,19.7,17.56
4,20.82,19.02
5,19.26,17.58
6,19.66,18.46
7,19.95,18.6
8,19.8,18.46
9,21.33,19.87
10,20.19,19.17
11,18.33,17.18
12,16.72,15.19
13,16.06,14.07
14,15.12,13.1
15,15.35,13.53
16,14.91,14.36
17,13.72,12.21
18,14.17,12.08
19,13.47,11.91
20,15.03,13.34
21,14.46,12.7
22,13.0,11.04
23,11.35,9.82
24,12.52,11.11
25,12.01,10.27
26,14.68,12.51
27,17.31,15.29
28,17.72,15.23
29,17.92,15.86
30,20.1,19.08
31,21.28,20.22
32,23.8,22.54
33,22.69,22.0
34,25.0,24.58
35,26.1,25.47
36,27.26,25.51
37,29.37,27.78
38,29.84,27.49
39,25.72,22.76
40,28.79,27.74
41,31.82,29.8
42,29.7,28.68
43,31.26,30.2
44,33.88,33.14
45,33.11,30.96
46,34.42,32.55
47,28.44,25.66
48,29.59,25.62
49,29.61,27.5
50,27.25,24.5
51,27.49,25.66
52,28.63,28.31
53,27.6,27.85
54,26.43,24.61
55,27.37,25.68
56,26.2,25.62
57,22.17,20.54
58,19.64,18.8
59,19.39,18.71
60,19.72,19.42
61,20.72,20.28
62,24.53,23.7
63,26.18,25.73
64,27.04,25.35
65,25.52,24.08
66,26.97,25.74
67,28.39,26.65
68,29.66,28.4
69,28.84,27.54
70,26.35,24.34
71,29.46,28.33
72,32.95,31.18
73,35.83,32.77
74,33.51,30.61
75,28.17,25.0
76,28.11,25.86
77,30.66,27.65
78,30.76,28.35
79,31.57,29.89
80,28.31,27.11
81,30.34,29.61
82,31.11,28.75
83,32.13,29.81
84,34.31,31.28
85,34.69,30.86
86,36.74,33.63
87,36.75,33.59
88,40.28,37.57
89,38.03,35.18
90,40.78,38.22
91,44.9,42.74
92,45.94,43.2
93,53.28,49.78
94,48.47,43.11
95,43.15,39.6
96,46.84,44.51
97,48.15,45.48
98,54.19,53.1
99,52.98,51.88
100,49.83,48.65
101,56.35,54.35
102,59.0,57.52
103,64.99,63.98
104,65.59,62.91
105,62.26,58.54
106,58.32,55.24
107,59.41,56.86
108,65.49,62.99
109,61.63,60.21
110,62.69,62.06
111,69.44,70.26
112,70.84,69.78
113,70.95,68.56
114,74.41,73.67
115,73.04,73.23
116,63.8,61.96
117,58.89,57.81
118,59.08,58.76
119,61.96,62.47
120,54.51,53.68
121,59.28,57.56
122,60.44,62.05
123,63.98,67.49
124,63.46,67.21
125,67.49,71.05
126,74.12,76.93
127,72.36,70.76
128,79.92,77.17
129,85.8,82.34
130,94.77,92.41
131,91.69,90.93
132,92.97,92.18
133,95.39,94.99
134,105.45,103.64
135,112.58,109.07
136,125.4,122.8
137,133.88,132.32
138,133.37,132.72
139,116.67,113.24
140,104.11,97.23
141,76.61,71.58
142,57.31,52.45
143,41.12,39.95
144,41.71,43.44
145,39.09,43.32
146,47.94,46.54
147,49.65,50.18
148,59.03,57.3
149,69.64,68.61
150,64.15,64.44
151,71.05,72.51
152,69.41,67.65
153,75.72,72.77
154,77.99,76.66
155,74.47,74.46
156,78.33,76.17
157,76.39,73.75
158,81.2,78.83
159,84.29,84.82
160,73.74,75.95
161,75.34,74.76
162,76.32,75.58
163,76.6,77.04
164,75.24,77.84
165,81.89,82.67
166,84.25,85.28
167,89.15,91.45
168,89.17,96.52
169,88.58,103.72
170,102.86,114.64
171,109.53,123.26
172,100.9,114.99
173,96.26,113.83
174,97.3,116.97
175,86.33,110.22
176,85.52,112.83
177,86.32,109.55
178,97.16,110.77
179,98.56,107.87
180,100.27,110.69
181,102.2,119.33
182,106.16,125.45
183,103.32,119.75
184,94.66,110.34
185,82.3,95.16
186,87.9,102.62
187,94.13,113.36
188,94.51,112.86
189,89.49,111.71
190,86.53,109.06
191,87.86,109.49
192,94.76,112.96
193,95.31,116.05
194,92.94,108.47
195,92.02,102.25
196,94.51,102.56
197,95.77,102.92
198,104.67,107.93
199,106.57,111.28
200,106.29,111.6
201,100.54,109.08
202,93.86,107.79
203,97.63,110.76
204,94.62,108.12
205,100.82,108.9
206,100.8,107.48
207,102.07,107.76
208,102.18,109.54
209,105.79,111.8
210,103.59,106.77
211,96.54,101.61
212,93.21,97.09
213,84.4,87.43
214,75.79,79.44
215,59.29,62.34
216,47.22,47.76
217,50.58,58.1
218,47.82,55.89
219,54.45,59.52
220,59.27,64.08
221,59.82,61.48
222,50.9,56.56
223,42.87,46.52
224,45.48,47.62
225,46.22,48.43
226,42.44,44.27
227,37.19,38.01
228,31.68,30.7
229,30.32,32.18
230,37.55,38.21
231,40.75,41.58
232,46.71,46.74
233,48.76,48.25
234,44.65,44.95
235,44.72,45.84
236,45.18,46.57
237,49.78,49.52
238,45.66,44.73
239,51.97,53.31
240,52.5,54.58
241,53.47,54.87
242,49.33,51.59
243,51.06,52.31
244,48.48,50.33
245,45.18,46.37
246,46.63,48.48
247,48.04,51.7
248,49.82,56.15
249,51.58,57.51
250,56.64,62.71
251,57.88,64.37
252,63.7,69.08
253,62.23,65.32
254,62.73,66.02
255,66.25,72.11
256,69.98,76.98
257,67.87,74.41
258,70.98,74.25
259,68.06,72.53
260,70.23,78.89
261,70.75,81.03
262,56.96,64.75
263,49.52,57.36
264,51.38,59.41
265,54.95,63.96
266,58.15,66.14
267,63.86,71.23
268,60.83,71.32
269,54.66,64.22
270,57.35,63.92
271,54.81,59.04
272,56.95,62.83
273,53.96,59.71
274,57.03,63.21
275,59.88,67.31
276,57.52,63.65
277,50.54,55.66
278,29.21,32.01
279,16.55,18.38
280,28.56,29.38
281,38.31,40.27
282,40.71,43.24
283,42.34,44.74
284,39.63,40.91
285,39.4,40.19
286,40.94,42.69
287,47.02,49.99
288,52.0,54.77
289,59.04,62.28
290,62.33,65.41
291,61.72,64.81
292,65.17,68.53
293,71.38,73.16
294,72.49,75.17
295,67.73,70.75
296,71.65,74.49
297,81.48,83.54
298,79.15,81.05
299,71.71,74.17
300,83.22,86.51
301,91.64,97.13
302,108.5,117.25
303,101.78,104.58
304,109.55,113.34
305,114.84,122.71
306,101.62,111.93
307,93.67,100.45
308,84.26,89.76
309,87.55,93.33
310,84.37,91.42
311,76.44,80.92
312,78.12,82.5
313,76.83,82.59
314,73.28,78.43
315,79.45,84.64
316,71.58,75.47
317,70.25,74.84
318,76.07,80.11
319,81.39,86.15
320,89.43,93.72
321,85.64,90.6
322,77.69,82.94
323,71.9,77.63
